id;measure_date;station_name;unity;family_name;pollution_name;measure_value
1;2004-01-01;Fontaine les Balmes;microg/m3;En continu;Dioxyde d'azote;-1.0
2;2004-01-01;Fontaine les Balmes;microg/m3;En continu;Monoxyde d'azote;-1.0
3;2004-01-01;Fontaine les Balmes;microg/m3;En continu;Ozone;24.0
4;2004-01-01;Fontaine les Balmes;microg/m3;En continu;Particules PM10;-1.0
5;2004-01-01;Grenoble Grands Boulevards;microg/m3;En continu;Dioxyde d'azote;-1.0
6;2004-01-01;Grenoble Grands Boulevards;microg/m3;En continu;Monoxyde d'azote;-1.0
7;2004-01-01;Grenoble Grands Boulevards;microg/m3;En continu;Particules PM10;-1.0
8;2004-01-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Antimoine;-1.0
9;2004-01-01;Grenoble les Frenes;nanog/m3;En différé, métaux lourds;Arsenic;-1.0
10;2004-01-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Baryum;-1.0
11;2004-01-01;Grenoble les Frenes;microg/m3;Volatil;Benzène;-1.0
12;2004-01-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Benzo(a)anthracène;-1.0
13;2004-01-01;Grenoble les Frenes;nanog/m3;En différé;Benzo(a)pyrène;-1.0
14;2004-01-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Benzo(b)fluoranthène;-1.0
15;2004-01-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Benzo(j)fluoranthène;-1.0
16;2004-01-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Benzo(k)fluoranthène;-1.0
17;2004-01-01;Grenoble les Frenes;nanog/m3;En différé, métaux lourds;Cadmium;-1.0
18;2004-01-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Chrome;-1.0
19;2004-01-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Cobalt;-1.0
20;2004-01-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Cuivre;-1.0
21;2004-01-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Dibenzo(a,h)anthracène;-1.0
22;2004-01-01;Grenoble les Frenes;microg/m3;En continu;Dioxyde d'azote;42.0
23;2004-01-01;Grenoble les Frenes;microg/m3;En continu;Dioxyde soufre;10.0
24;2004-01-01;Grenoble les Frenes;microg/m3;Volatil;EthylBenzene;-1.0
25;2004-01-01;Grenoble les Frenes;nanog/m3;Hydrocarbure;Indéno(1,2,3-cd)pyrène;-1.0
26;2004-01-01;Grenoble les Frenes;microg/m3;Volatil;m+p-Xylène;-1.0
27;2004-01-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Manganèse;-1.0
28;2004-01-01;Grenoble les Frenes;nanog/m3;Métaux lourds;Mercure;-1.0
29;2004-01-01;Grenoble les Frenes;microg/m3;En continu;Monoxyde d'azote;31.0
30;2004-01-01;Grenoble les Frenes;nanog/m3;En différé, métaux lourds;Nickel;-1.0
